date,observed,trend,seasonal,residual
2017-01,1059,,-340.574,
2017-02,891,,-569.162,
2017-03,1218,,-369.532,
2017-04,1254,,-200.563,
2017-05,1510,,198.416,
2017-06,1622,,508.181,
2017-07,1613,1167.333,742.124,-296.457
2017-08,1387,1149.958,326.973,-89.931
2017-09,1200,1130.792,-195.391,264.600
2017-10,797,1108.500,-79.266,-232.234
2017-11,891,1077.333,76.187,-262.520
2017-12,681,1049.792,-97.391,-271.400
2018-01,829,1037.208,-340.574,132.365
2018-02,704,1034.042,-569.162,239.121
2018-03,945,1024.708,-369.532,289.824
2018-04,992,1030.417,-200.563,162.147
2018-05,1024,1047.292,198.416,-221.707
2018-06,1447,1049.042,508.181,-110.223
2018-07,1486,1050.208,742.124,-306.332
2018-08,1438,1045.667,326.973,65.360
2018-09,925,1042.625,-195.391,77.766
2018-10,1209,1065.417,-79.266,222.850
2018-11,884,1173.708,76.187,-365.895
2018-12,730,1266.792,-97.391,-439.400
2019-01,808,1275.875,-340.574,-127.301
2019-02,616,1273.750,-569.162,-88.588
2019-03,960,1277.167,-369.532,52.365
2019-04,1524,1285.000,-200.563,439.563
2019-05,3091,1302.917,198.416,1589.668
2019-06,1614,1328.917,508.181,-223.098
2019-07,1537,1340.917,742.124,-546.041
2019-08,1336,1355.042,326.973,-346.015
2019-09,1109,1364.792,-195.391,-60.400
2019-10,1213,1345.250,-79.266,-52.984
2019-11,1310,1250.333,76.187,-16.520
2019-12,928,1186.625,-97.391,-161.234
2020-01,898,1241.833,-340.574,-3.260
2020-02,865,1298.333,-569.162,135.829
2020-03,945,1319.708,-369.532,-5.176
2020-04,1070,1331.750,-200.563,-61.187
2020-05,1267,1347.792,198.416,-279.207
2020-06,1909,1431.875,508.181,-31.056
2020-07,2567,1511.542,742.124,313.334
2020-08,1662,1507.167,326.973,-172.140
2020-09,1296,1500.792,-195.391,-9.400
2020-10,1315,1509.958,-79.266,-115.692
2020-11,1593,1519.833,76.187,-3.020
2020-12,2663,1540.500,-97.391,1219.891
2021-01,1075,1522.958,-340.574,-107.385
2021-02,583,1476.875,-569.162,-324.713
2021-03,1074,1458.542,-369.532,-15.010
2021-04,1161,1463.875,-200.563,-102.312
2021-05,1413,1474.500,198.416,-259.916
2021-06,2259,1410.750,508.181,340.069
2021-07,1796,1345.042,742.124,-291.166
2021-08,1327,1357.792,326.973,-357.765
2021-09,1191,1373.208,-195.391,13.183
2021-10,1548,1377.708,-79.266,249.558
2021-11,1615,1389.958,76.187,148.855
2021-12,1111,1414.792,-97.391,-206.400
2022-01,1050,1438.750,-340.574,-48.176
2022-02,914,1461.042,-569.162,22.121
2022-03,1113,1486.667,-369.532,-4.135
2022-04,1230,1495.417,-200.563,-64.853
2022-05,1638,1503.833,198.416,-64.249
2022-06,2630,1524.125,508.181,597.694
2022-07,2000,1543.917,742.124,-286.041
2022-08,1658,1570.417,326.973,-239.390
2022-09,1475,1603.042,-195.391,67.350
2022-10,1474,1629.875,-79.266,-76.609
2022-11,1891,1646.625,76.187,168.188
2022-12,1322,1663.167,-97.391,-243.775
2023-01,1314,1765.167,-340.574,-110.593
2023-02,1286,1943.375,-569.162,-88.213
2023-03,1524,2052.750,-369.532,-159.218
2023-04,1463,2105.125,-200.563,-441.562
2023-05,1807,2171.500,198.416,-562.916
2023-06,2858,2255.042,508.181,94.777
2023-07,4220,2330.208,742.124,1147.668
2023-08,3715,2367.208,326.973,1020.819
2023-09,2043,2376.083,-195.391,-137.692
2023-10,2163,2390.458,-79.266,-148.192
2023-11,2795,2418.250,76.187,300.563
2023-12,2423,2400.458,-97.391,119.933
2024-01,2017,2310.333,-340.574,47.240
2024-02,1471,2191.958,-569.162,-151.796
2024-03,1552,2104.583,-369.532,-183.051
2024-04,1780,2066.208,-200.563,-85.645
2024-05,2157,2017.625,198.416,-59.041
2024-06,2081,1949.583,508.181,-376.765
2024-07,2834,1904.667,742.124,187.209
2024-08,2260,1891.792,326.973,41.235
2024-09,1401,1889.625,-195.391,-293.234
2024-10,1884,1887.792,-79.266,75.475
2024-11,1908,1879.292,76.187,-47.478
2024-12,1677,1869.833,-97.391,-95.442
2025-01,1685,1886.292,-340.574,139.282
2025-02,1494,1884.750,-569.162,178.412
2025-03,1477,1899.958,-369.532,-53.426
2025-04,1811,1935.542,-200.563,76.022
2025-05,1922,1944.042,198.416,-220.457
2025-06,2089,1950.042,508.181,-369.223
2025-07,3221,,742.124,
2025-08,1836,,326.973,
2025-09,2190,,-195.391,
2025-10,1949,,-79.266,
2025-11,2047,,76.187,
2025-12,1682,,-97.391,
