date,year,month,total,cannabis,narcotics,psychotropics
2017-01,2017,1,1059,115,22,922
2017-02,2017,2,891,85,26,780
2017-03,2017,3,1218,116,31,1071
2017-04,2017,4,1254,183,22,1049
2017-05,2017,5,1510,187,98,1225
2017-06,2017,6,1622,182,468,972
2017-07,2017,7,1613,221,496,896
2017-08,2017,8,1387,176,199,1012
2017-09,2017,9,1200,132,46,1022
2017-10,2017,10,797,99,17,681
2017-11,2017,11,891,138,34,719
2017-12,2017,12,681,94,16,571
2018-01,2018,1,829,137,32,660
2018-02,2018,2,704,71,50,583
2018-03,2018,3,945,128,34,783
2018-04,2018,4,992,130,28,834
2018-05,2018,5,1024,142,49,833
2018-06,2018,6,1447,156,319,972
2018-07,2018,7,1486,135,491,860
2018-08,2018,8,1438,160,311,967
2018-09,2018,9,925,136,61,728
2018-10,2018,10,1209,140,32,1037
2018-11,2018,11,884,102,32,750
2018-12,2018,12,730,96,28,606
2019-01,2019,1,808,108,42,658
2019-02,2019,2,616,73,22,521
2019-03,2019,3,960,160,29,771
2019-04,2019,4,1524,218,37,1269
2019-05,2019,5,3091,500,298,2293
2019-06,2019,6,1614,200,336,1078
2019-07,2019,7,1537,177,437,923
2019-08,2019,8,1336,258,315,763
2019-09,2019,9,1109,257,74,778
2019-10,2019,10,1213,230,68,915
2019-11,2019,11,1310,304,54,952
2019-12,2019,12,928,145,93,690
2020-01,2020,1,898,163,35,700
2020-02,2020,2,865,129,23,713
2020-03,2020,3,945,200,37,708
2020-04,2020,4,1070,127,39,904
2020-05,2020,5,1267,151,92,1024
2020-06,2020,6,1909,228,467,1214
2020-07,2020,7,2567,267,998,1302
2020-08,2020,8,1662,399,230,1033
2020-09,2020,9,1296,240,70,986
2020-10,2020,10,1315,351,74,890
2020-11,2020,11,1593,417,49,1127
2020-12,2020,12,2663,540,84,2039
2021-01,2021,1,1075,244,86,745
2021-02,2021,2,583,110,23,450
2021-03,2021,3,1074,213,22,839
2021-04,2021,4,1161,192,76,893
2021-05,2021,5,1413,434,114,865
2021-06,2021,6,2259,621,282,1356
2021-07,2021,7,1796,292,622,882
2021-08,2021,8,1327,328,197,802
2021-09,2021,9,1191,256,78,857
2021-10,2021,10,1548,412,119,1017
2021-11,2021,11,1615,398,70,1147
2021-12,2021,12,1111,277,56,778
2022-01,2022,1,1050,248,84,718
2022-02,2022,2,914,231,98,585
2022-03,2022,3,1113,222,69,822
2022-04,2022,4,1230,247,60,923
2022-05,2022,5,1638,336,152,1150
2022-06,2022,6,2630,512,691,1427
2022-07,2022,7,2000,340,689,971
2022-08,2022,8,1658,298,341,1019
2022-09,2022,9,1475,270,157,1048
2022-10,2022,10,1474,251,84,1139
2022-11,2022,11,1891,575,76,1240
2022-12,2022,12,1322,279,50,993
2023-01,2023,1,1314,294,48,972
2023-02,2023,2,1286,233,114,939
2023-03,2023,3,1524,233,96,1195
2023-04,2023,4,1463,213,50,1200
2023-05,2023,5,1807,201,188,1418
2023-06,2023,6,2858,306,869,1683
2023-07,2023,7,4220,356,1425,2439
2023-08,2023,8,3715,570,546,2599
2023-09,2023,9,2043,328,290,1425
2023-10,2023,10,2163,304,120,1739
2023-11,2023,11,2795,559,134,2102
2023-12,2023,12,2423,488,90,1845
2024-01,2024,1,2017,413,72,1532
2024-02,2024,2,1471,247,53,1171
2024-03,2024,3,1552,226,56,1270
2024-04,2024,4,1780,219,75,1486
2024-05,2024,5,2157,262,117,1778
2024-06,2024,6,2081,253,344,1484
2024-07,2024,7,2834,406,569,1859
2024-08,2024,8,2260,292,281,1687
2024-09,2024,9,1401,191,132,1078
2024-10,2024,10,1884,281,111,1492
2024-11,2024,11,1908,294,74,1540
2024-12,2024,12,1677,233,70,1374
2025-01,2025,1,1685,178,69,1438
2025-02,2025,2,1494,151,46,1297
2025-03,2025,3,1477,203,46,1228
2025-04,2025,4,1811,197,80,1534
2025-05,2025,5,1922,190,122,1610
2025-06,2025,6,2089,184,329,1576
2025-07,2025,7,3221,305,484,2432
2025-08,2025,8,1836,184,207,1445
2025-09,2025,9,2190,234,176,1780
2025-10,2025,10,1949,185,70,1694
2025-11,2025,11,2047,235,55,1757
2025-12,2025,12,1682,213,48,1421
